id,google_timestamp,zoom_timestamp,prog_exp,prog_exp_r,prog_ease_max_list,data_format,current_use_llm,work_organisation,barrier_time_availability,barrier_supervisor_interests,barrier_internet_connection,barrier_electricity,barrier_computer,interest_share_dataset
i7z9i8,2023-10-07T17:34:12Z,2023-10-07T17:34:55Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
k1o3k8,2023-10-06T17:51:35Z,2023-10-06T17:52:12Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I use LLMs occasionally for specific tasks when needed (e.g once a week).,Private sector,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
g7y3g5,2023-10-19T11:08:32Z,2023-10-19T11:10:24Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with no use of external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),A barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Maybe
b2h8b0,2023-10-05T22:20:37Z,2023-10-05T22:24:06Z,I have written a few lines now and again.,I have written a few lines now and again.,I wouldn’t know where to start.,In a relational database (e.g. an SQL Database),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Private sector,Not a barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Yes
a5h0a1,2023-10-05T16:33:33Z,2023-10-05T16:34:45Z,I have written a few lines now and again.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
c9w9c0,2023-10-09T17:57:40Z,2023-10-09T17:58:47Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
t4g9t4,2023-10-10T15:36:11Z,NA,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
w0k6w3,2023-10-06T11:32:20Z,2023-10-24T15:44:36Z,I have written a few lines now and again.,I have written a few lines now and again.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,Not a barrier,A barrier,A barrier,Not a barrier,No
m2s5m4,2023-10-29T04:53:56Z,2023-10-29T04:55:46Z,I have none.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
o9c7o8,2023-10-04T17:47:02Z,2023-10-04T17:48:47Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,A barrier,Not a barrier,A barrier,Maybe
f8c1f2,2023-10-05T14:21:44Z,NA,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Yes
c6a2c3,2023-10-11T15:21:45Z,2023-10-11T15:22:27Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
a1q6a8,2023-10-13T22:31:03Z,2023-10-13T22:46:03Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,in word documents and pdf,I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,A barrier,Not a barrier,A barrier,Maybe
d8w7d8,2023-10-16T17:59:21Z,2023-10-16T17:46:58Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
j3p1j0,2023-10-10T18:51:26Z,2023-10-10T18:54:22Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
f8c1f2,2023-10-06T20:15:29Z,2023-10-06T20:16:29Z,I have none.,I have none.,I wouldn’t know where to start.,"In machine readible files (e.g. CSV, JSON)",I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,Not a barrier,Not a barrier,A barrier,Not a barrier,Maybe
f9y8f3,2023-10-08T20:35:34Z,2023-10-08T20:36:55Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,I don't know,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
g3a3g2,2023-10-08T06:54:13Z,2023-10-08T06:55:46Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
z5g7z6,2023-10-19T13:05:16Z,2023-10-19T13:16:17Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
f8c1f2,2023-10-09T10:01:55Z,2023-10-09T10:02:45Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,A barrier,A barrier,Not a barrier,Yes
s4r2s8,2023-10-04T08:41:50Z,2023-10-04T08:42:18Z,I have written programs for my own use that are a couple of pages long.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
y1m7y5,2023-10-08T07:15:21Z,2023-10-08T07:16:37Z,I have written a few lines now and again.,I have written a few lines now and again.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
m5o2m4,2023-10-05T13:45:37Z,2023-10-05T13:46:29Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
w7y4w3,2023-10-05T19:26:02Z,2023-10-24T22:29:59Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,I don't know,Not a barrier,A barrier,Not a barrier,Not a barrier,Maybe
x8l7x8,2023-10-08T09:46:39Z,2023-10-08T09:49:23Z,I have written a few lines now and again.,I have none.,I could do it quickly with no use of external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
w8e6w9,2023-10-14T16:12:05Z,2023-10-14T16:13:39Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,I don't know,Not a barrier,Not a barrier,No
m1r9m5,2023-10-09T19:12:37Z,2023-10-09T19:14:49Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
g9e6g2,2023-10-11T06:05:25Z,2023-10-24T16:19:36Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
c3o2c8,2023-10-10T07:19:30Z,2023-10-10T07:20:37Z,I have none.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,I don't know,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
g9m8g9,2023-10-09T09:28:05Z,2023-10-09T09:19:03Z,I have none.,I have none.,I wouldn’t know where to start.,I don't know,I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
e9s8e5,2023-10-10T12:43:28Z,2023-10-24T15:45:02Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,No
i4u9i6,2023-10-05T21:35:13Z,2023-10-10T12:54:26Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,A barrier,A barrier,Not a barrier,Maybe
v4l7v1,2023-10-05T11:08:44Z,2023-10-05T11:09:32Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,No
r3i4r3,2023-10-24T14:26:38Z,2023-10-24T14:27:30Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
p8s8p0,2023-10-05T21:46:35Z,2023-10-05T21:48:02Z,I have written a few lines now and again.,I have none.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
w9z5w6,2023-10-05T15:35:50Z,2023-10-05T15:40:03Z,I have none.,I have written a few lines now and again.,I wouldn’t know where to start.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,Government,A barrier,Not a barrier,Not a barrier,Not a barrier,A barrier,Yes
j9w5j7,2023-10-09T15:03:03Z,2023-10-09T15:04:38Z,I have written a few lines now and again.,I have none.,I could do it quickly with no use of external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
t6r2t0,2023-10-07T20:49:11Z,2023-10-07T20:51:04Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,A barrier,Not a barrier,Maybe
i2l4i9,2023-10-05T11:50:12Z,2023-10-05T11:50:36Z,I have none.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
k3n0k0,2023-10-16T10:30:45Z,2023-10-16T10:32:34Z,I have none.,I have none.,I wouldn’t know where to start.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,A barrier,A barrier,Maybe
y7g8y1,2023-10-09T14:31:20Z,2023-10-09T14:25:05Z,I have none.,I have none.,I wouldn’t know where to start.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,A barrier,Maybe
f8c1f2,2023-10-05T22:03:54Z,2023-10-05T22:05:42Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,A barrier,A barrier,Not a barrier,Maybe
j9b7j0,2023-10-04T14:09:06Z,2023-10-04T14:09:43Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a relational database (e.g. an SQL Database),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
g1b7g6,2023-10-09T15:36:23Z,2023-10-09T15:37:00Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),I don't know,Not a barrier,Not a barrier,A barrier,Not a barrier,Yes
h9e3h1,2023-10-12T07:07:45Z,2023-10-12T07:08:30Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
j2n9j3,2023-10-08T00:02:54Z,2023-10-08T00:04:00Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,I don't know,I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
r7k8r9,2023-10-09T10:48:53Z,2023-10-09T10:50:14Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,A barrier,Not a barrier,Not a barrier,Maybe
i0a3i1,2023-10-11T19:36:04Z,2023-10-11T19:38:00Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
s0f5s1,2023-10-23T20:09:46Z,2023-10-30T12:30:52Z,I have none.,I have none.,I wouldn’t know where to start.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Private sector,Not a barrier,Not a barrier,A barrier,Not a barrier,A barrier,Yes
g9b2g1,2023-10-17T16:08:01Z,2023-10-17T16:09:52Z,I have none.,I have none.,I wouldn’t know where to start.,"In machine readible files (e.g. CSV, JSON)",I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
d9r1d0,2023-10-03T17:55:43Z,2023-10-03T17:56:58Z,I have none.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,A barrier,A barrier,Not a barrier,Yes
y3w7y3,2023-10-09T11:47:15Z,2023-10-30T10:52:10Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
y0t5y8,2023-10-14T09:05:22Z,2023-10-14T09:06:15Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,A barrier,A barrier,Not a barrier,I don't know,Yes
d8g8d0,2023-10-04T18:14:16Z,2023-10-05T09:35:13Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
a9e9a8,2023-10-11T08:50:05Z,2023-10-11T08:50:59Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
r7h4r3,2023-10-05T13:58:24Z,2023-10-05T13:58:18Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,Academia,A barrier,Not a barrier,A barrier,A barrier,Not a barrier,Yes
h6g0h8,2023-10-06T08:22:46Z,2023-10-06T08:23:50Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
m0n1m7,2023-10-15T14:35:51Z,2023-10-15T14:37:19Z,I have written a few lines now and again.,I have written programs for my own use that are a couple of pages long.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Government,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
n8g3n2,2023-10-23T10:11:39Z,2023-10-23T10:12:43Z,I have written a few lines now and again.,I have none.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,Not a barrier,A barrier,Not a barrier,A barrier,Maybe
c6m9c4,2023-10-08T17:32:07Z,2023-10-08T17:09:56Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
c1k7c9,2023-10-13T15:42:43Z,2023-10-13T15:43:53Z,I have written a few lines now and again.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,A barrier,Not a barrier,No
f4e6f6,2023-10-26T16:09:06Z,2023-10-26T16:10:12Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,A barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
l5n4l8,2023-10-25T18:10:36Z,2023-10-25T18:11:45Z,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
e6v7e3,2023-10-16T09:56:29Z,2023-10-16T10:04:19Z,I have none.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Yes
h0r3h4,2023-10-13T16:04:15Z,NA,I have written a few lines now and again.,I have written a few lines now and again.,I could struggle through by trial and error with a lot of web searches.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I use LLMs occasionally for specific tasks when needed (e.g once a week).,Academia,Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Maybe
r0z2r4,2023-10-05T12:32:32Z,2023-10-05T12:34:18Z,I have none.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
a7m5a4,2023-10-11T13:41:29Z,2023-10-11T13:43:47Z,I have written a few lines now and again.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I rely on LLMs for completing a wide range of tasks (e.g. several times a day).,Independent consultant,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
s6n1s4,2023-10-12T22:54:29Z,2023-10-12T22:55:14Z,I have written programs for my own use that are a couple of pages long.,I have written a few lines now and again.,I could do it quickly with external help.,"In machine readible files (e.g. CSV, JSON)",I have not used any LLMs for completing tasks.,Private sector,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
t8g8t4,2023-10-16T21:30:18Z,2023-10-16T21:32:18Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,NGO (non-governmental organisation),Not a barrier,I don't know,Not a barrier,Not a barrier,Not a barrier,Yes
x0h7x8,2023-10-20T00:18:46Z,2023-10-20T00:19:36Z,I have none.,I have none.,I wouldn’t know where to start.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,A barrier,A barrier,Not a barrier,No
f8c1f2,2023-10-02T18:07:27Z,2023-10-02T18:08:05Z,I have none.,I have none.,I wouldn’t know where to start.,I don't know,I have not used any LLMs for completing tasks.,Academia,Not a barrier,Not a barrier,I don't know,Not a barrier,Not a barrier,Maybe
u6i7u5,2023-10-27T16:54:56Z,2023-10-27T16:56:28Z,I have written a few lines now and again.,I have none.,I could do it quickly with external help.,In physical notebooks on paper,I have not used any LLMs for completing tasks.,Academia,A barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,No
b6j8b7,2023-10-17T06:57:43Z,2023-10-17T06:58:17Z,I have written programs for my own use that are a couple of pages long.,I have written programs for my own use that are a couple of pages long.,I could do it quickly with external help.,In a spreadsheet-based format (e.g MS Excel xlsx or Google Sheets),I regularly use LLMs for various tasks to improve efficiency (e.g. once a day).,NGO (non-governmental organisation),Not a barrier,Not a barrier,Not a barrier,Not a barrier,Not a barrier,Maybe
